iter	Passed	Remaining
404	8754	2053
405	8775	2031
406	8800	2010
407	8824	1989
408	8845	1968
409	8869	1946
410	8891	1925
411	8912	1903
412	8937	1882
413	8958	1860
414	8980	1839
415	9002	1817
416	9023	1796
417	9042	1773
418	9060	1751
419	9078	1729
420	9100	1707
421	9121	1686
422	9141	1663
423	9162	1642
424	9185	1620
425	9206	1599
426	9229	1577
427	9247	1555
428	9266	1533
429	9292	1512
430	9316	1491
431	9337	1469
432	9359	1448
433	9380	1426
434	9397	1404
435	9418	1382
436	9437	1360
437	9460	1339
438	9479	1317
439	9498	1295
440	9517	1273
441	9536	1251
442	9560	1230
443	9592	1209
444	9615	1188
445	9634	1166
446	9651	1144
447	9671	1122
448	9695	1101
449	9720	1080
450	9740	1058
451	9761	1036
452	9787	1015
453	9810	994
454	9828	972
455	9849	950
456	9872	928
457	9894	907
458	9916	885
459	9938	864
460	9959	842
461	9981	820
462	10001	799
463	10018	777
464	10040	755
465	10060	734
466	10084	712
467	10106	691
468	10126	669
469	10147	647
470	10168	626
471	10190	604
472	10211	582
473	10230	561
474	10251	539
475	10272	517
476	10292	496
477	10315	474
478	10336	453
479	10356	431
480	10379	409
481	10399	388
482	10417	366
483	10439	345
484	10456	323
485	10473	301
486	10492	280
487	10510	258
488	10527	236
489	10549	215
490	10565	193
491	10583	172
492	10601	150
493	10618	128
494	10640	107
495	10661	85
496	10678	64
497	10701	42
498	10717	21
499	10737	0
