iter	Logloss
0	0.6788625862
1	0.6663460098
2	0.6549499111
3	0.6448345958
4	0.6355612866
5	0.6271715803
6	0.6203854262
7	0.6136425653
8	0.60747222
9	0.6019611657
10	0.5969587762
11	0.5927642476
12	0.5890001649
13	0.5855377431
14	0.5822470704
15	0.579349332
16	0.5769297074
17	0.5744990514
18	0.5724781568
19	0.5705612481
20	0.5687470762
21	0.5673530207
22	0.5659050903
23	0.5645371085
24	0.5633776228
25	0.5622953163
26	0.5612403151
27	0.5597964345
28	0.5588962762
29	0.5582044149
30	0.5573931704
31	0.5567646711
32	0.5559659648
33	0.5552604006
34	0.5547103652
35	0.5537063407
36	0.5532853569
37	0.5528964189
38	0.5523373927
39	0.5519524066
40	0.550399165
41	0.549936981
42	0.5496061897
43	0.5492137933
44	0.5479287638
45	0.5472753963
46	0.5469973888
47	0.546563824
48	0.5462728987
49	0.5459837251
50	0.5456342709
51	0.5453015238
52	0.5445798095
53	0.544405689
54	0.544115065
55	0.5437144433
56	0.5429931396
57	0.5428080033
58	0.5426593255
59	0.5424797194
60	0.5422309136
61	0.5420485722
62	0.5418919486
63	0.5417499099
64	0.5415216056
65	0.5412993969
66	0.5410910083
67	0.5409224813
68	0.5407387594
69	0.5404453173
70	0.5400650581
71	0.5399741388
72	0.5397756203
73	0.5396321874
74	0.5392243689
75	0.5390689464
76	0.5388317885
77	0.5386449831
78	0.5385845968
79	0.5384581739
80	0.538343654
81	0.5381922004
82	0.538059292
83	0.5379419747
84	0.5377994109
85	0.5377021969
86	0.5375633199
87	0.5374879093
88	0.5373430583
89	0.5372205169
90	0.5370428054
91	0.5369507294
92	0.5367940793
93	0.5366628013
94	0.5365267537
95	0.5364260399
96	0.5363070289
97	0.5361102551
98	0.5359768473
99	0.5358730641
100	0.5357593822
101	0.5357074534
102	0.535536835
103	0.535376719
104	0.5352635659
105	0.5350622133
106	0.5348503438
107	0.5347296556
108	0.5346272778
109	0.5345583284
110	0.534476346
111	0.5343342863
112	0.5341646475
113	0.533996499
114	0.5339617808
115	0.5338532515
116	0.533758938
117	0.5337220185
118	0.5336298507
119	0.5335918174
120	0.5334792552
121	0.5332775993
122	0.5332200512
123	0.5331418733
124	0.5331096049
125	0.5330111995
126	0.5329397919
127	0.5328328707
128	0.5326668236
129	0.5325783249
130	0.5325467512
131	0.5324372649
132	0.5324274043
133	0.5322427106
134	0.5320820907
135	0.5320063
136	0.5319738985
137	0.5318740771
138	0.5318052393
139	0.5317915984
140	0.5317280298
141	0.5317194065
142	0.5315704189
143	0.5315344401
144	0.5314787044
145	0.5314313925
146	0.5312950113
147	0.531253273
148	0.5311781444
149	0.5311325593
150	0.5310432724
151	0.5309241448
152	0.5308382829
153	0.5306546109
154	0.5306268929
155	0.5305426051
156	0.5305044365
157	0.5304331219
158	0.5304225466
159	0.5302202041
160	0.5301636851
161	0.5300997189
162	0.5300043385
163	0.5298512919
164	0.5297962056
165	0.5297451644
166	0.5297443093
167	0.5296057183
168	0.5295251507
169	0.5291800853
170	0.529090949
171	0.5289818081
172	0.528913171
173	0.528886192
174	0.5288306454
175	0.5288036605
176	0.5286916577
177	0.5285675721
178	0.5284198715
179	0.5283284343
180	0.5281661751
181	0.528103957
182	0.5279084543
183	0.5278002996
184	0.527791697
185	0.52769394
186	0.5276231266
187	0.5275537602
188	0.5274571714
189	0.5273119217
190	0.5272362366
191	0.5271506622
192	0.527055895
193	0.526922609
194	0.526796554
195	0.5267427874
196	0.526649871
197	0.526564214
198	0.5263896191
199	0.5263207282
